,year,round,game,home_team,away_team,home_score,away_score,winner
2012_14_4,2012,14,4,The Enmalones,SERPION,53.42,69.44,SERPION
2012_14_5,2012,14,5,The Brady Bunch,The Iceman Cometh,127.84,93.58,The Brady Bunch
2012_15_1,2012,15,1,The Decepticons,The Iceman Cometh,117.64,120.0,The Iceman Cometh
2012_15_2,2012,15,2,Fifty Shades of Ray,The Enmalones,75.44,128.14,The Enmalones
2012_15_3,2012,15,3,The Brady Bunch,It's a Brees,125.02,178.58,It's a Brees
2012_15_4,2012,15,4,The Alligators,The Claireville Cougars,76.54,88.16,The Claireville Cougars
2012_16_1,2012,16,1,The Decepticons,Fifty Shades of Ray,136.2,134.24,The Decepticons
2012_16_2,2012,16,2,The Enmalones,The Iceman Cometh,96.28,121.76,The Iceman Cometh
2012_16_3,2012,16,3,It's a Brees,The Claireville Cougars,151.34,121.42,It's a Brees
2012_16_4,2012,16,4,The Brady Bunch,The Alligators,127.68,101.12,The Brady Bunch
2013_1_1,2013,1,1,DeMarco Polo,Skittles and Shady,139.96,89.12,DeMarco Polo
2013_1_2,2013,1,2,The Catcher in the Rice,I'm Sexy and I Knowshon It,118.9,102.34,The Catcher in the Rice
2013_1_3,2013,1,3,Jordy Shore,My Ball Zach Ertz,92.78,171.08,My Ball Zach Ertz
2013_1_4,2013,1,4,The Claireville Cougars,BREESUS - KING OF THE DREWS,128.52,103.78,The Claireville Cougars
2013_1_5,2013,1,5,The Alligators,Havn't got a Kluwe,112.88,84.9,The Alligators
2013_1_6,2013,1,6,The Sprockets,SERPION,148.76,125.82,The Sprockets
2013_2_1,2013,2,1,DeMarco Polo,The Catcher in the Rice,114.2,97.18,DeMarco Polo
2013_2_2,2013,2,2,I'm Sexy and I Knowshon It,Jordy Shore,110.54,131.12,Jordy Shore
2013_2_3,2013,2,3,Skittles and Shady,The Claireville Cougars,129.82,130.04,The Claireville Cougars
2013_2_4,2013,2,4,My Ball Zach Ertz,The Alligators,87.98,89.08,The Alligators
2013_2_5,2013,2,5,BREESUS - KING OF THE DREWS,The Sprockets,81.18,100.06,The Sprockets
2013_2_6,2013,2,6,Havn't got a Kluwe,SERPION,98.96,113.8,SERPION
2013_3_1,2013,3,1,DeMarco Polo,The Claireville Cougars,119.54,84.06,DeMarco Polo
2013_3_2,2013,3,2,The Catcher in the Rice,Jordy Shore,110.88,126.44,Jordy Shore
2013_3_3,2013,3,3,The Alligators,I'm Sexy and I Knowshon It,74.14,134.84,I'm Sexy and I Knowshon It
2013_3_4,2013,3,4,The Sprockets,Skittles and Shady,79.84,74.3,The Sprockets
2013_3_5,2013,3,5,SERPION,My Ball Zach Ertz,107.06,75.26,SERPION
2013_3_6,2013,3,6,Havn't got a Kluwe,BREESUS - KING OF THE DREWS,108.02,118.08,BREESUS - KING OF THE DREWS
2013_4_1,2013,4,1,DeMarco Polo,The Sprockets,120.98,122.34,The Sprockets
2013_4_2,2013,4,2,The Claireville Cougars,The Catcher in the Rice,132.08,126.98,The Claireville Cougars
2013_4_3,2013,4,3,Jordy Shore,The Alligators,99.38,121.22,The Alligators
2013_4_4,2013,4,4,I'm Sexy and I Knowshon It,SERPION,127.22,115.94,I'm Sexy and I Knowshon It
2013_4_5,2013,4,5,Skittles and Shady,Havn't got a Kluwe,96.14,84.9,Skittles and Shady
2013_4_6,2013,4,6,My Ball Zach Ertz,BREESUS - KING OF THE DREWS,131.88,101.52,My Ball Zach Ertz
2013_5_1,2013,5,1,DeMarco Polo,Havn't got a Kluwe,111.9,80.12,DeMarco Polo
2013_5_2,2013,5,2,The Catcher in the Rice,The Alligators,110.3,86.0,The Catcher in the Rice
2013_5_3,2013,5,3,The Sprockets,The Claireville Cougars,111.76,105.56,The Sprockets
2013_5_4,2013,5,4,SERPION,Jordy Shore,110.26,78.28,SERPION
2013_5_5,2013,5,5,BREESUS - KING OF THE DREWS,I'm Sexy and I Knowshon It,88.52,79.4,BREESUS - KING OF THE DREWS
2013_5_6,2013,5,6,My Ball Zach Ertz,Skittles and Shady,78.66,96.34,Skittles and Shady
2013_6_1,2013,6,1,DeMarco Polo,My Ball Zach Ertz,124.88,102.6,DeMarco Polo
2013_6_2,2013,6,2,The Sprockets,The Catcher in the Rice,80.04,83.98,The Catcher in the Rice
2013_6_3,2013,6,3,The Alligators,SERPION,90.78,92.9,SERPION
2013_6_4,2013,6,4,The Claireville Cougars,Havn't got a Kluwe,69.28,70.78,Havn't got a Kluwe
2013_6_5,2013,6,5,Jordy Shore,BREESUS - KING OF THE DREWS,102.42,101.24,Jordy Shore
2013_6_6,2013,6,6,I'm Sexy and I Knowshon It,Skittles and Shady,119.54,152.5,Skittles and Shady
2013_7_1,2013,7,1,DeMarco Polo,I'm Sexy and I Knowshon It,97.62,114.62,I'm Sexy and I Knowshon It
2013_7_2,2013,7,2,The Catcher in the Rice,SERPION,65.6,82.6,SERPION
2013_7_3,2013,7,3,Havn't got a Kluwe,The Sprockets,87.76,102.22,The Sprockets
2013_7_4,2013,7,4,BREESUS - KING OF THE DREWS,The Alligators,78.8,106.2,The Alligators
2013_7_5,2013,7,5,My Ball Zach Ertz,The Claireville Cougars,84.54,106.12,The Claireville Cougars
2013_7_6,2013,7,6,Skittles and Shady,Jordy Shore,120.48,103.48,Skittles and Shady
2013_8_1,2013,8,1,DeMarco Polo,Jordy Shore,127.2,126.52,DeMarco Polo
2013_8_2,2013,8,2,Havn't got a Kluwe,The Catcher in the Rice,109.84,79.26,Havn't got a Kluwe
2013_8_3,2013,8,3,SERPION,BREESUS - KING OF THE DREWS,86.2,92.28,BREESUS - KING OF THE DREWS
2013_8_4,2013,8,4,The Sprockets,My Ball Zach Ertz,51.04,98.66,My Ball Zach Ertz
2013_8_5,2013,8,5,The Alligators,Skittles and Shady,160.56,92.54,The Alligators
2013_8_6,2013,8,6,The Claireville Cougars,I'm Sexy and I Knowshon It,98.86,78.38,The Claireville Cougars
2013_9_1,2013,9,1,DeMarco Polo,The Alligators,114.76,129.7,The Alligators
2013_9_2,2013,9,2,The Catcher in the Rice,BREESUS - KING OF THE DREWS,105.28,100.28,The Catcher in the Rice
2013_9_3,2013,9,3,My Ball Zach Ertz,Havn't got a Kluwe,105.14,107.24,Havn't got a Kluwe
2013_9_4,2013,9,4,Skittles and Shady,SERPION,122.48,106.68,Skittles and Shady
2013_9_5,2013,9,5,I'm Sexy and I Knowshon It,The Sprockets,115.84,79.66,I'm Sexy and I Knowshon It
2013_9_6,2013,9,6,Jordy Shore,The Claireville Cougars,87.02,114.94,The Claireville Cougars
2013_10_1,2013,10,1,DeMarco Polo,SERPION,120.7,69.9,DeMarco Polo
2013_10_2,2013,10,2,My Ball Zach Ertz,The Catcher in the Rice,114.0,74.48,My Ball Zach Ertz
2013_10_3,2013,10,3,BREESUS - KING OF THE DREWS,Skittles and Shady,85.08,95.72,Skittles and Shady
2013_10_4,2013,10,4,Havn't got a Kluwe,I'm Sexy and I Knowshon It,99.56,82.74,Havn't got a Kluwe
2013_10_5,2013,10,5,The Sprockets,Jordy Shore,88.76,79.86,The Sprockets
2013_10_6,2013,10,6,The Alligators,The Claireville Cougars,96.14,85.12,The Alligators
2013_11_1,2013,11,1,DeMarco Polo,BREESUS - KING OF THE DREWS,77.1,110.6,BREESUS - KING OF THE DREWS
2013_11_2,2013,11,2,The Catcher in the Rice,Skittles and Shady,82.0,150.22,Skittles and Shady
2013_11_3,2013,11,3,I'm Sexy and I Knowshon It,My Ball Zach Ertz,105.96,88.72,I'm Sexy and I Knowshon It
2013_11_4,2013,11,4,Jordy Shore,Havn't got a Kluwe,99.78,110.36,Havn't got a Kluwe
2013_11_5,2013,11,5,The Claireville Cougars,SERPION,89.98,68.34,The Claireville Cougars
2013_11_6,2013,11,6,The Alligators,The Sprockets,106.98,80.68,The Alligators
2013_12_1,2013,12,1,DeMarco Polo,Skittles and Shady,100.9,96.26,DeMarco Polo
