,year,round,game,home_team,away_team,home_score,away_score,winner
2015_1_3,2015,1,3,Dez Nuts 2016,Barth Vader defies physics,68.22,94.84,Barth Vader defies physics
2015_1_4,2015,1,4,The Sinking Ship,The Aligators,49.7,118.74,The Aligators
2015_1_5,2015,1,5,Le'Veon a prayer,Rudolph the Red Nosed Tightend,98.8,110.62,Rudolph the Red Nosed Tightend
2015_1_6,2015,1,6,Another Prick in the Ball,Good Luck You Gronks,143.92,82.82,Another Prick in the Ball
2015_1_7,2015,1,7,One Rush to Rule Jamaal,Spare the rod spoil the child,115.86,115.14,One Rush to Rule Jamaal
2015_1_8,2015,1,8,Quantum of Wallace,EGstra Gurley,111.04,106.16,Quantum of Wallace
2015_2_1,2015,2,1,Fitzmagic in the air,Quantum of Wallace,87.72,48.74,Fitzmagic in the air
2015_2_2,2015,2,2,Spare the rod spoil the child,Breakdown Justice,102.86,110.0,Breakdown Justice
2015_2_3,2015,2,3,EGstra Gurley,SERPION,100.66,94.9,EGstra Gurley
2015_2_4,2015,2,4,One Rush to Rule Jamaal,Abdullah Akbar,94.84,112.56,Abdullah Akbar
2015_2_5,2015,2,5,Barth Vader defies physics,Rudolph the Red Nosed Tightend,84.34,109.22,Rudolph the Red Nosed Tightend
2015_2_6,2015,2,6,The Aligators,Le'Veon a prayer,106.96,112.0,Le'Veon a prayer
2015_2_7,2015,2,7,Dez Nuts 2016,Good Luck You Gronks,94.58,112.8,Good Luck You Gronks
2015_2_8,2015,2,8,The Sinking Ship,Another Prick in the Ball,88.34,113.84,Another Prick in the Ball
2015_3_1,2015,3,1,Fitzmagic in the air,Spare the rod spoil the child,96.34,79.18,Fitzmagic in the air
2015_3_2,2015,3,2,Quantum of Wallace,Breakdown Justice,78.98,124.8,Breakdown Justice
2015_3_3,2015,3,3,Another Prick in the Ball,Barth Vader defies physics,105.92,114.8,Barth Vader defies physics
2015_3_4,2015,3,4,The Sinking Ship,Rudolph the Red Nosed Tightend,137.36,107.4,The Sinking Ship
2015_3_5,2015,3,5,One Rush to Rule Jamaal,SERPION,115.48,81.62,One Rush to Rule Jamaal
2015_3_6,2015,3,6,EGstra Gurley,Abdullah Akbar,133.32,98.58,EGstra Gurley
2015_3_7,2015,3,7,Good Luck You Gronks,The Aligators,116.2,91.78,Good Luck You Gronks
2015_3_8,2015,3,8,Dez Nuts 2016,Le'Veon a prayer,91.36,92.24,Le'Veon a prayer
2015_4_1,2015,4,1,Fitzmagic in the air,Another Prick in the Ball,47.86,75.26,Another Prick in the Ball
2015_4_2,2015,4,2,Rudolph the Red Nosed Tightend,Breakdown Justice,98.44,94.36,Rudolph the Red Nosed Tightend
2015_4_3,2015,4,3,Le'Veon a prayer,SERPION,118.28,78.22,Le'Veon a prayer
2015_4_4,2015,4,4,Good Luck You Gronks,Abdullah Akbar,88.72,77.84,Good Luck You Gronks
2015_4_5,2015,4,5,Barth Vader defies physics,Spare the rod spoil the child,56.98,89.6,Spare the rod spoil the child
2015_4_6,2015,4,6,The Aligators,EGstra Gurley,129.44,113.86,The Aligators
2015_4_7,2015,4,7,Dez Nuts 2016,One Rush to Rule Jamaal,90.58,96.2,One Rush to Rule Jamaal
2015_4_8,2015,4,8,The Sinking Ship,Quantum of Wallace,82.72,72.02,The Sinking Ship
2015_5_1,2015,5,1,Fitzmagic in the air,Rudolph the Red Nosed Tightend,121.56,89.36,Fitzmagic in the air
2015_5_2,2015,5,2,Another Prick in the Ball,Breakdown Justice,125.9,103.56,Another Prick in the Ball
2015_5_3,2015,5,3,Quantum of Wallace,Barth Vader defies physics,59.72,85.02,Barth Vader defies physics
2015_5_4,2015,5,4,The Sinking Ship,Spare the rod spoil the child,88.64,91.08,Spare the rod spoil the child
2015_5_5,2015,5,5,Good Luck You Gronks,SERPION,118.92,99.94,Good Luck You Gronks
2015_5_6,2015,5,6,Le'Veon a prayer,Abdullah Akbar,120.94,94.84,Le'Veon a prayer
2015_5_7,2015,5,7,One Rush to Rule Jamaal,The Aligators,109.5,105.92,One Rush to Rule Jamaal
2015_5_8,2015,5,8,EGstra Gurley,Dez Nuts 2016,82.74,127.74,Dez Nuts 2016
2015_6_1,2015,6,1,Fitzmagic in the air,The Sinking Ship,118.12,109.9,Fitzmagic in the air
2015_6_2,2015,6,2,Barth Vader defies physics,Breakdown Justice,94.44,91.06,Barth Vader defies physics
2015_6_3,2015,6,3,The Aligators,SERPION,89.3,116.62,SERPION
2015_6_4,2015,6,4,Dez Nuts 2016,Abdullah Akbar,115.66,104.42,Dez Nuts 2016
2015_6_5,2015,6,5,Rudolph the Red Nosed Tightend,Spare the rod spoil the child,76.5,85.66,Spare the rod spoil the child
2015_6_6,2015,6,6,Le'Veon a prayer,EGstra Gurley,81.74,81.8,EGstra Gurley
2015_6_7,2015,6,7,Good Luck You Gronks,One Rush to Rule Jamaal,87.14,127.42,One Rush to Rule Jamaal
2015_6_8,2015,6,8,Another Prick in the Ball,Quantum of Wallace,96.28,144.4,Quantum of Wallace
2015_7_1,2015,7,1,Fitzmagic in the air,Barth Vader defies physics,119.6,102.2,Fitzmagic in the air
2015_7_2,2015,7,2,The Sinking Ship,Breakdown Justice,78.34,108.88,Breakdown Justice
2015_7_3,2015,7,3,Quantum of Wallace,Rudolph the Red Nosed Tightend,64.44,110.04,Rudolph the Red Nosed Tightend
2015_7_4,2015,7,4,Another Prick in the Ball,Spare the rod spoil the child,108.3,79.7,Another Prick in the Ball
2015_7_5,2015,7,5,Dez Nuts 2016,SERPION,55.0,103.14,SERPION
2015_7_6,2015,7,6,The Aligators,Abdullah Akbar,57.6,94.28,Abdullah Akbar
2015_7_7,2015,7,7,One Rush to Rule Jamaal,Le'Veon a prayer,118.14,85.4,One Rush to Rule Jamaal
2015_7_8,2015,7,8,Good Luck You Gronks,EGstra Gurley,138.52,112.1,Good Luck You Gronks
2015_8_1,2015,8,1,Fitzmagic in the air,SERPION,89.84,87.48,Fitzmagic in the air
2015_8_2,2015,8,2,Abdullah Akbar,Breakdown Justice,69.44,109.42,Breakdown Justice
2015_8_3,2015,8,3,The Aligators,Barth Vader defies physics,119.04,113.9,The Aligators
2015_8_4,2015,8,4,The Sinking Ship,Dez Nuts 2016,88.2,89.7,Dez Nuts 2016
2015_8_5,2015,8,5,Good Luck You Gronks,Rudolph the Red Nosed Tightend,105.34,84.08,Good Luck You Gronks
2015_8_6,2015,8,6,EGstra Gurley,Spare the rod spoil the child,111.68,64.5,EGstra Gurley
2015_8_7,2015,8,7,Quantum of Wallace,One Rush to Rule Jamaal,60.28,74.64,One Rush to Rule Jamaal
2015_8_8,2015,8,8,Another Prick in the Ball,Le'Veon a prayer,111.04,116.56,Le'Veon a prayer
2015_9_1,2015,9,1,Fitzmagic in the air,Breakdown Justice,129.18,112.18,Fitzmagic in the air
2015_9_2,2015,9,2,Abdullah Akbar,SERPION,48.66,157.46,SERPION
2015_9_3,2015,9,3,The Sinking Ship,Barth Vader defies physics,69.74,92.72,Barth Vader defies physics
2015_9_4,2015,9,4,The Aligators,Dez Nuts 2016,140.7,90.22,The Aligators
2015_9_5,2015,9,5,Another Prick in the Ball,Rudolph the Red Nosed Tightend,97.56,92.62,Another Prick in the Ball
2015_9_6,2015,9,6,Good Luck You Gronks,Le'Veon a prayer,79.14,112.88,Le'Veon a prayer
2015_9_7,2015,9,7,EGstra Gurley,One Rush to Rule Jamaal,99.82,97.7,EGstra Gurley
2015_9_8,2015,9,8,Quantum of Wallace,Spare the rod spoil the child,88.02,102.84,Spare the rod spoil the child
2015_10_1,2015,10,1,Fitzmagic in the air,One Rush to Rule Jamaal,101.42,84.18,Fitzmagic in the air
2015_10_2,2015,10,2,The Aligators,Breakdown Justice,146.52,101.58,The Aligators
2015_10_3,2015,10,3,Le'Veon a prayer,Barth Vader defies physics,95.66,76.1,Le'Veon a prayer
2015_10_4,2015,10,4,EGstra Gurley,Rudolph the Red Nosed Tightend,99.52,76.86,EGstra Gurley
2015_10_5,2015,10,5,SERPION,Spare the rod spoil the child,88.1,86.9,SERPION
2015_10_6,2015,10,6,The Sinking Ship,Abdullah Akbar,42.6,58.68,Abdullah Akbar
2015_10_7,2015,10,7,Another Prick in the Ball,Dez Nuts 2016,72.96,84.04,Dez Nuts 2016
2015_10_8,2015,10,8,Quantum of Wallace,Good Luck You Gronks,84.58,105.82,Good Luck You Gronks
2015_11_1,2015,11,1,Fitzmagic in the air,The Sinking Ship,87.94,64.62,Fitzmagic in the air
2015_11_2,2015,11,2,Barth Vader defies physics,Breakdown Justice,88.7,135.44,Breakdown Justice
2015_11_3,2015,11,3,The Aligators,SERPION,55.5,82.04,SERPION
2015_11_4,2015,11,4,Dez Nuts 2016,Abdullah Akbar,62.16,85.7,Abdullah Akbar
2015_11_5,2015,11,5,Le'Veon a prayer,EGstra Gurley,84.28,76.08,Le'Veon a prayer
2015_11_6,2015,11,6,Good Luck You Gronks,One Rush to Rule Jamaal,57.08,53.16,Good Luck You Gronks
2015_11_7,2015,11,7,Another Prick in the Ball,Quantum of Wallace,94.48,86.98,Another Prick in the Ball
2015_11_8,2015,11,8,Rudolph the Red Nosed Tightend,Spare the rod spoil the child,89.2,105.24,Spare the rod spoil the child
2015_12_1,2015,12,1,Fitzmagic in the air,Another Prick in the Ball,108.08,109.1,Another Prick in the Ball
2015_12_2,2015,12,2,Rudolph the Red Nosed Tightend,Breakdown Justice,78.0,120.82,Breakdown Justice
2015_12_3,2015,12,3,Le'Veon a prayer,SERPION,104.44,92.14,Le'Veon a prayer
2015_12_4,2015,12,4,Good Luck You Gronks,Abdullah Akbar,97.46,117.72,Abdullah Akbar
2015_12_5,2015,12,5,Barth Vader defies physics,Spare the rod spoil the child,105.9,123.24,Spare the rod spoil the child
2015_12_6,2015,12,6,The Aligators,EGstra Gurley,90.5,80.88,The Aligators
2015_12_7,2015,12,7,Dez Nuts 2016,One Rush to Rule Jamaal,71.54,69.8,Dez Nuts 2016
2015_12_8,2015,12,8,The Sinking Ship,Quantum of Wallace,78.0,101.68,Quantum of Wallace
2015_13_1,2015,13,1,Fitzmagic in the air,Quantum of Wallace,126.24,60.4,Fitzmagic in the air
2015_13_2,2015,13,2,Spare the rod spoil the child,Breakdown Justice,120.36,106.74,Spare the rod spoil the child
2015_13_3,2015,13,3,EGstra Gurley,SERPION,110.62,150.82,SERPION
2015_13_4,2015,13,4,One Rush to Rule Jamaal,Abdullah Akbar,110.62,92.8,One Rush to Rule Jamaal
2015_13_5,2015,13,5,Barth Vader defies physics,Rudolph the Red Nosed Tightend,90.66,84.46,Barth Vader defies physics
2015_13_6,2015,13,6,The Aligators,Le'Veon a prayer,113.18,90.54,The Aligators
2015_13_7,2015,13,7,Dez Nuts 2016,Good Luck You Gronks,70.18,104.58,Good Luck You Gronks
2015_13_8,2015,13,8,The Sinking Ship,Another Prick in the Ball,102.28,121.68,Another Prick in the Ball
2015_14_1,2015,14,1,Dez Nuts 2016,Barth Vader defies physics,69.38,96.28,Barth Vader defies physics
2015_14_2,2015,14,2,EGstra Gurley,Quantum of Wallace,110.92,71.34,EGstra Gurley
2015_14_3,2015,14,3,Spare the rod spoil the child,Another Prick in the Ball,103.08,86.34,Spare the rod spoil the child
2015_14_4,2015,14,4,Good Luck You Gronks,One Rush to Rule Jamaal,91.0,99.42,One Rush to Rule Jamaal
2015_15_1,2015,15,1,Fitzmagic in the air,One Rush to Rule Jamaal,68.16,104.34,One Rush to Rule Jamaal
2015_15_2,2015,15,2,The Sinking Ship,Dez Nuts 2016,104.74,107.2,Dez Nuts 2016
2015_15_3,2015,15,3,Quantum of Wallace,Rudolph the Red Nosed Tightend,105.76,104.24,Quantum of Wallace
2015_15_4,2015,15,4,Spare the rod spoil the child,Le'Veon a prayer,117.2,118.76,Le'Veon a prayer
2015_16_1,2015,16,1,Fitzmagic in the air,Spare the rod spoil the child,46.9,118.3,Spare the rod spoil the child
2015_16_2,2015,16,2,Dez Nuts 2016,Quantum of Wallace,83.56,64.34,Dez Nuts 2016
2015_16_3,2015,16,3,The Sinking Ship,Rudolph the Red Nosed Tightend,61.5,81.44,Rudolph the Red Nosed Tightend
2015_16_4,2015,16,4,EGstra Gurley,Barth Vader defies physics,108.64,92.46,EGstra Gurley
2015_16_5,2015,16,5,One Rush to Rule Jamaal,Le'Veon a prayer,85.88,72.7,One Rush to Rule Jamaal
2015_16_6,2015,16,6,Another Prick in the Ball,Good Luck You Gronks,90.34,104.02,Good Luck You Gronks
2016_1_1,2016,1,1,Teifert Fever,Leeannacondas,105.66,106.1,Leeannacondas
2016_1_2,2016,1,2,Ah Maclin you've done it again,Can we Fitz it- yes we Charcan,107.32,150.66,Can we Fitz it- yes we Charcan
2016_1_3,2016,1,3,The Aligators,Thomas the Tank Engine,99.32,81.48,The Aligators
2016_1_4,2016,1,4,Gordon Ramseys Cooking Wares,The Adams Family,130.0,95.1,Gordon Ramseys Cooking Wares
2016_1_5,2016,1,5,SERPION,All you Snead is love,96.94,124.16,All you Snead is love
2016_1_6,2016,1,6,Meet the Winstons,Forte Year Old Virgin,118.04,98.0,Meet the Winstons
2016_1_7,2016,1,7,Fire Up the Coleman Grill,Gotta catch Jamaal,99.02,76.04,Fire Up the Coleman Grill
2016_1_8,2016,1,8,Donte Go Breaking My Heart,Daisy Duke Johnsons on Top,90.14,70.2,Donte Go Breaking My Heart
2016_2_1,2016,2,1,Teifert Fever,Daisy Duke Johnsons on Top,98.22,87.76,Teifert Fever
2016_2_2,2016,2,2,Fire Up the Coleman Grill,Can we Fitz it- yes we Charcan,71.56,112.94,Can we Fitz it- yes we Charcan
2016_2_3,2016,2,3,Donte Go Breaking My Heart,Ah Maclin you've done it again,105.72,94.96,Donte Go Breaking My Heart
2016_2_4,2016,2,4,Gotta catch Jamaal,Leeannacondas,145.54,123.76,Gotta catch Jamaal
2016_2_5,2016,2,5,Thomas the Tank Engine,All you Snead is love,63.52,117.22,All you Snead is love
2016_2_6,2016,2,6,The Adams Family,SERPION,77.68,95.46,SERPION
2016_2_7,2016,2,7,The Aligators,Meet the Winstons,65.28,64.52,The Aligators
2016_2_8,2016,2,8,Forte Year Old Virgin,Gordon Ramseys Cooking Wares,130.5,93.06,Forte Year Old Virgin
2016_3_1,2016,3,1,Teifert Fever,Fire Up the Coleman Grill,83.5,121.42,Fire Up the Coleman Grill
2016_3_2,2016,3,2,Daisy Duke Johnsons on Top,Can we Fitz it- yes we Charcan,82.96,136.3,Can we Fitz it- yes we Charcan
2016_3_3,2016,3,3,Thomas the Tank Engine,Forte Year Old Virgin,109.3,105.7,Thomas the Tank Engine
2016_3_4,2016,3,4,All you Snead is love,Gordon Ramseys Cooking Wares,101.18,74.38,All you Snead is love
2016_3_5,2016,3,5,Gotta catch Jamaal,Ah Maclin you've done it again,108.78,73.16,Gotta catch Jamaal
2016_3_6,2016,3,6,Donte Go Breaking My Heart,Leeannacondas,114.24,94.76,Donte Go Breaking My Heart
2016_3_7,2016,3,7,Meet the Winstons,The Adams Family,102.7,104.54,The Adams Family
2016_3_8,2016,3,8,SERPION,The Aligators,125.38,109.06,SERPION
2016_4_1,2016,4,1,Teifert Fever,Forte Year Old Virgin,61.44,101.22,Forte Year Old Virgin
2016_4_2,2016,4,2,All you Snead is love,Can we Fitz it- yes we Charcan,119.8,121.52,Can we Fitz it- yes we Charcan
2016_4_3,2016,4,3,SERPION,Ah Maclin you've done it again,124.82,93.96,SERPION
2016_4_4,2016,4,4,Meet the Winstons,Leeannacondas,103.06,149.08,Leeannacondas
2016_4_5,2016,4,5,Thomas the Tank Engine,Fire Up the Coleman Grill,66.24,116.8,Fire Up the Coleman Grill
2016_4_6,2016,4,6,The Adams Family,Donte Go Breaking My Heart,77.56,63.64,The Adams Family
2016_4_7,2016,4,7,The Aligators,Gotta catch Jamaal,82.32,86.78,Gotta catch Jamaal
2016_4_8,2016,4,8,Daisy Duke Johnsons on Top,Gordon Ramseys Cooking Wares,82.18,103.4,Gordon Ramseys Cooking Wares
2016_5_1,2016,5,1,Teifert Fever,All you Snead is love,94.66,47.62,Teifert Fever
2016_5_2,2016,5,2,Forte Year Old Virgin,Can we Fitz it- yes we Charcan,89.5,121.44,Can we Fitz it- yes we Charcan
2016_5_3,2016,5,3,Daisy Duke Johnsons on Top,Thomas the Tank Engine,82.86,86.16,Thomas the Tank Engine
2016_5_4,2016,5,4,Gordon Ramseys Cooking Wares,Fire Up the Coleman Grill,103.3,139.38,Fire Up the Coleman Grill
2016_5_5,2016,5,5,Meet the Winstons,Ah Maclin you've done it again,85.36,81.78,Meet the Winstons
2016_5_6,2016,5,6,SERPION,Leeannacondas,120.76,129.08,Leeannacondas
2016_5_7,2016,5,7,Gotta catch Jamaal,The Adams Family,128.62,90.08,Gotta catch Jamaal
2016_5_8,2016,5,8,Donte Go Breaking My Heart,The Aligators,83.56,89.28,The Aligators
2016_6_1,2016,6,1,Teifert Fever,Gordon Ramseys Cooking Wares,59.56,90.86,Gordon Ramseys Cooking Wares
2016_6_2,2016,6,2,Thomas the Tank Engine,Can we Fitz it- yes we Charcan,125.32,113.34,Thomas the Tank Engine
2016_6_3,2016,6,3,The Adams Family,Ah Maclin you've done it again,133.88,65.7,The Adams Family
2016_6_4,2016,6,4,The Aligators,Leeannacondas,92.1,66.84,The Aligators
2016_6_5,2016,6,5,All you Snead is love,Fire Up the Coleman Grill,87.28,71.84,All you Snead is love
2016_6_6,2016,6,6,Donte Go Breaking My Heart,SERPION,84.6,103.82,SERPION
2016_6_7,2016,6,7,Gotta catch Jamaal,Meet the Winstons,109.36,114.08,Meet the Winstons
2016_6_8,2016,6,8,Forte Year Old Virgin,Daisy Duke Johnsons on Top,100.4,79.76,Forte Year Old Virgin
2016_7_1,2016,7,1,Teifert Fever,Thomas the Tank Engine,94.24,115.84,Thomas the Tank Engine
2016_7_2,2016,7,2,Gordon Ramseys Cooking Wares,Can we Fitz it- yes we Charcan,115.92,123.58,Can we Fitz it- yes we Charcan
2016_7_3,2016,7,3,Daisy Duke Johnsons on Top,All you Snead is love,73.44,126.76,All you Snead is love
2016_7_4,2016,7,4,Forte Year Old Virgin,Fire Up the Coleman Grill,87.54,79.5,Forte Year Old Virgin
2016_7_5,2016,7,5,The Aligators,Ah Maclin you've done it again,101.42,82.6,The Aligators
2016_7_6,2016,7,6,The Adams Family,Leeannacondas,89.92,131.14,Leeannacondas
2016_7_7,2016,7,7,SERPION,Gotta catch Jamaal,88.98,82.92,SERPION
2016_7_8,2016,7,8,Donte Go Breaking My Heart,Meet the Winstons,81.38,72.66,Donte Go Breaking My Heart
2016_8_1,2016,8,1,Teifert Fever,Ah Maclin you've done it again,114.34,57.7,Teifert Fever
2016_8_2,2016,8,2,Leeannacondas,Can we Fitz it- yes we Charcan,126.08,107.4,Leeannacondas
2016_8_3,2016,8,3,The Adams Family,Thomas the Tank Engine,85.8,92.04,Thomas the Tank Engine
2016_8_4,2016,8,4,Gordon Ramseys Cooking Wares,The Aligators,87.82,92.4,The Aligators
2016_8_5,2016,8,5,Meet the Winstons,All you Snead is love,69.1,81.38,All you Snead is love
2016_8_6,2016,8,6,Forte Year Old Virgin,SERPION,103.2,121.92,SERPION
2016_8_7,2016,8,7,Donte Go Breaking My Heart,Fire Up the Coleman Grill,105.0,75.02,Donte Go Breaking My Heart
2016_8_8,2016,8,8,Gotta catch Jamaal,Daisy Duke Johnsons on Top,74.58,120.32,Daisy Duke Johnsons on Top
2016_9_1,2016,9,1,Teifert Fever,Can we Fitz it- yes we Charcan,97.68,74.38,Teifert Fever
2016_9_2,2016,9,2,Leeannacondas,Ah Maclin you've done it again,145.48,54.96,Leeannacondas
2016_9_3,2016,9,3,Gordon Ramseys Cooking Wares,Thomas the Tank Engine,115.36,111.28,Gordon Ramseys Cooking Wares
2016_9_4,2016,9,4,The Adams Family,The Aligators,63.24,148.82,The Aligators
2016_9_5,2016,9,5,Forte Year Old Virgin,All you Snead is love,75.86,104.1,All you Snead is love
2016_9_6,2016,9,6,Meet the Winstons,SERPION,65.82,75.86,SERPION
2016_9_7,2016,9,7,Daisy Duke Johnsons on Top,Fire Up the Coleman Grill,66.86,92.38,Fire Up the Coleman Grill
2016_9_8,2016,9,8,Gotta catch Jamaal,Donte Go Breaking My Heart,50.96,95.9,Donte Go Breaking My Heart
2016_10_1,2016,10,1,Teifert Fever,Gotta catch Jamaal,115.94,73.04,Teifert Fever
2016_10_2,2016,10,2,The Adams Family,Can we Fitz it- yes we Charcan,98.06,121.04,Can we Fitz it- yes we Charcan
2016_10_3,2016,10,3,SERPION,Thomas the Tank Engine,103.74,66.2,SERPION
2016_10_4,2016,10,4,Donte Go Breaking My Heart,All you Snead is love,106.9,105.74,Donte Go Breaking My Heart
2016_10_5,2016,10,5,Ah Maclin you've done it again,Fire Up the Coleman Grill,52.1,95.36,Fire Up the Coleman Grill
2016_10_6,2016,10,6,Gordon Ramseys Cooking Wares,Leeannacondas,113.22,138.78,Leeannacondas
2016_10_7,2016,10,7,Forte Year Old Virgin,The Aligators,122.82,77.82,Forte Year Old Virgin
2016_10_8,2016,10,8,Daisy Duke Johnsons on Top,Meet the Winstons,77.22,92.48,Meet the Winstons
2016_11_1,2016,11,1,Teifert Fever,Gordon Ramseys Cooking Wares,112.34,104.08,Teifert Fever
2016_11_2,2016,11,2,Thomas the Tank Engine,Can we Fitz it- yes we Charcan,65.34,121.7,Can we Fitz it- yes we Charcan
2016_11_3,2016,11,3,The Adams Family,Ah Maclin you've done it again,105.78,96.0,The Adams Family
2016_11_4,2016,11,4,The Aligators,Leeannacondas,80.2,82.2,Leeannacondas
2016_11_5,2016,11,5,Fire Up the Coleman Grill,All you Snead is love,93.24,96.98,All you Snead is love
2016_11_6,2016,11,6,SERPION,Donte Go Breaking My Heart,92.58,86.28,SERPION
2016_11_7,2016,11,7,Meet the Winstons,Gotta catch Jamaal,94.04,110.5,Gotta catch Jamaal
2016_11_8,2016,11,8,Forte Year Old Virgin,Daisy Duke Johnsons on Top,78.52,96.24,Daisy Duke Johnsons on Top
2016_12_1,2016,12,1,Teifert Fever,Forte Year Old Virgin,96.72,68.08,Teifert Fever
2016_12_2,2016,12,2,All you Snead is love,Can we Fitz it- yes we Charcan,81.14,117.94,Can we Fitz it- yes we Charcan
2016_12_3,2016,12,3,SERPION,Ah Maclin you've done it again,111.2,76.56,SERPION
2016_12_4,2016,12,4,Meet the Winstons,Leeannacondas,135.94,106.34,Meet the Winstons
2016_12_5,2016,12,5,Fire Up the Coleman Grill,Thomas the Tank Engine,116.7,102.06,Fire Up the Coleman Grill
2016_12_6,2016,12,6,Donte Go Breaking My Heart,The Adams Family,74.48,96.96,The Adams Family
2016_12_7,2016,12,7,The Aligators,Gotta catch Jamaal,130.2,104.86,The Aligators
2016_12_8,2016,12,8,Gordon Ramseys Cooking Wares,Daisy Duke Johnsons on Top,87.34,104.36,Daisy Duke Johnsons on Top
2016_13_1,2016,13,1,Teifert Fever,Daisy Duke Johnsons on Top,82.76,67.2,Teifert Fever
2016_13_2,2016,13,2,Donte Go Breaking My Heart,Ah Maclin you've done it again,79.2,56.98,Donte Go Breaking My Heart
2016_13_3,2016,13,3,Fire Up the Coleman Grill,Can we Fitz it- yes we Charcan,76.96,108.56,Can we Fitz it- yes we Charcan
2016_13_4,2016,13,4,Leeannacondas,Gotta catch Jamaal,96.94,92.54,Leeannacondas
2016_13_5,2016,13,5,Thomas the Tank Engine,All you Snead is love,89.74,63.98,Thomas the Tank Engine
2016_13_6,2016,13,6,The Adams Family,SERPION,70.02,81.94,SERPION
2016_13_7,2016,13,7,The Aligators,Meet the Winstons,99.14,74.66,The Aligators
2016_13_8,2016,13,8,Forte Year Old Virgin,Gordon Ramseys Cooking Wares,125.94,137.66,Gordon Ramseys Cooking Wares
2016_14_1,2016,14,1,Teifert Fever,Leeannacondas,75.24,70.62,Teifert Fever
2016_14_2,2016,14,2,Thomas the Tank Engine,The Adams Family,71.72,124.34,The Adams Family
2016_14_3,2016,14,3,Meet the Winstons,Gordon Ramseys Cooking Wares,98.66,55.2,Meet the Winstons
2016_14_4,2016,14,4,The Aligators,Donte Go Breaking My Heart,69.18,88.9,Donte Go Breaking My Heart
2016_15_1,2016,15,1,Teifert Fever,Can we Fitz it- yes we Charcan,68.58,78.12,Can we Fitz it- yes we Charcan
2016_15_2,2016,15,2,Ah Maclin you've done it again,Gordon Ramseys Cooking Wares,82.04,121.84,Gordon Ramseys Cooking Wares
2016_15_3,2016,15,3,Thomas the Tank Engine,Daisy Duke Johnsons on Top,74.34,106.14,Daisy Duke Johnsons on Top
2016_15_4,2016,15,4,SERPION,Donte Go Breaking My Heart,110.32,96.14,SERPION
2016_16_1,2016,16,1,Teifert Fever,Donte Go Breaking My Heart,74.38,84.08,Donte Go Breaking My Heart
2016_16_2,2016,16,2,Ah Maclin you've done it again,Thomas the Tank Engine,90.98,70.74,Ah Maclin you've done it again
2016_16_3,2016,16,3,Daisy Duke Johnsons on Top,Gordon Ramseys Cooking Wares,61.18,111.76,Gordon Ramseys Cooking Wares
2016_16_4,2016,16,4,The Adams Family,Meet the Winstons,101.72,61.78,The Adams Family
2016_16_5,2016,16,5,SERPION,Can we Fitz it- yes we Charcan,74.56,116.46,Can we Fitz it- yes we Charcan
2016_16_6,2016,16,6,Leeannacondas,The Aligators,135.96,127.36,Leeannacondas
2017_1_1,2017,1,1,The Aligators,DIGGS IS HOW WE DO IT,83.98,134.98,DIGGS IS HOW WE DO IT
2017_1_2,2017,1,2,lynching jordies,SERPION,92.38,103.12,SERPION
2017_1_3,2017,1,3,Leeannacondas,Ring my Bell,90.74,102.52,Ring my Bell
2017_1_4,2017,1,4,Murray'd with Children,Wake up Mr Freeman,83.5,69.82,Murray'd with Children
2017_1_5,2017,1,5,Kandys Konservatives,Daisy Duke Johnsons on Top,76.34,92.34,Daisy Duke Johnsons on Top
2017_1_6,2017,1,6,All you Snead is love,Look Morty I'm Charcand-Rick,69.44,96.3,Look Morty I'm Charcand-Rick
2017_1_7,2017,1,7,Chicken Karama with rice,Unleash the DemoGordon,55.44,97.12,Unleash the DemoGordon
2017_1_8,2017,1,8,Meet the Winstons,The Adams Family,94.54,80.78,Meet the Winstons
2017_2_1,2017,2,1,Unleash the DemoGordon,DIGGS IS HOW WE DO IT,136.92,93.3,Unleash the DemoGordon
2017_2_2,2017,2,2,Meet the Winstons,The Aligators,80.76,76.64,Meet the Winstons
2017_2_3,2017,2,3,Chicken Karama with rice,SERPION,47.68,72.82,SERPION
2017_2_4,2017,2,4,The Adams Family,lynching jordies,116.98,92.08,The Adams Family
2017_2_5,2017,2,5,Ring my Bell,Daisy Duke Johnsons on Top,101.52,79.2,Ring my Bell
2017_2_6,2017,2,6,Wake up Mr Freeman,Kandys Konservatives,112.38,96.02,Wake up Mr Freeman
2017_2_7,2017,2,7,Leeannacondas,Look Morty I'm Charcand-Rick,121.22,80.56,Leeannacondas
2017_2_8,2017,2,8,All you Snead is love,Murray'd with Children,93.44,62.0,All you Snead is love
2017_3_1,2017,3,1,The Adams Family,DIGGS IS HOW WE DO IT,146.06,98.72,The Adams Family
2017_3_2,2017,3,2,Unleash the DemoGordon,lynching jordies,59.3,106.12,lynching jordies
2017_3_3,2017,3,3,All you Snead is love,Ring my Bell,128.8,114.12,All you Snead is love
2017_3_4,2017,3,4,Murray'd with Children,Daisy Duke Johnsons on Top,74.2,103.1,Daisy Duke Johnsons on Top
2017_3_5,2017,3,5,The Aligators,Chicken Karama with rice,126.68,93.16,The Aligators
2017_3_6,2017,3,6,Meet the Winstons,SERPION,70.42,105.32,SERPION
2017_3_7,2017,3,7,Wake up Mr Freeman,Look Morty I'm Charcand-Rick,76.26,75.7,Wake up Mr Freeman
